Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo
W,W44X335,W44X335,F,335.0000,98.5000,44.0000,44.0000,-,-,-,15.9000,16.0000,-,-,-,1.0300,1.0000,0.5000,1.7700,1.7500,-,-,-,2.5600,3.0000,1.7500,-,-,-,-,-,4.5000,-,-,38.0000,-,-,31100.0000,1620.0000,1410.0000,17.8000,1200.0000,236.0000,150.0000,3.4900,-,-,-,74.7000,535000.0000,-,168.0000,1180.0000,-,-,278.0000,805.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.2400,42.2000,132.0000,-,148.0000,104.0000,120.0000,38.0000,5.5000,-
W,W44X290,W44X290,F,290.0000,85.4000,43.6000,43.6250,-,-,-,15.8000,15.8750,-,-,-,0.8650,0.8750,0.4375,1.5800,1.5625,-,-,-,2.3600,2.8125,1.6250,-,-,-,-,-,5.0200,-,-,45.0000,-,-,27000.0000,1410.0000,1240.0000,17.8000,1040.0000,205.0000,132.0000,3.4900,-,-,-,50.9000,461000.0000,-,166.0000,1040.0000,-,-,248.0000,701.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.2000,42.0000,131.0000,-,147.0000,103.0000,119.0000,38.0000,5.5000,-
W,W44X262,W44X262,F,262.0000,77.2000,43.3000,43.2500,-,-,-,15.8000,15.7500,-,-,-,0.7850,0.8125,0.4375,1.4200,1.4375,-,-,-,2.2000,2.6250,1.6250,-,-,-,-,-,5.5700,-,-,49.6000,-,-,24100.0000,1270.0000,1110.0000,17.7000,923.0000,182.0000,117.0000,3.4700,-,-,-,37.3000,405000.0000,-,165.0000,928.0000,-,-,223.0000,630.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.1700,41.9000,131.0000,-,147.0000,102.0000,118.0000,38.0000,5.5000,-
W,W44X230,W44X230,F,230.0000,67.8000,42.9000,42.8750,-,-,-,15.8000,15.7500,-,-,-,0.7100,0.6875,0.3750,1.2200,1.2500,-,-,-,2.0100,2.4375,1.5625,-,-,-,-,-,6.4500,-,-,54.8000,-,-,20800.0000,1100.0000,971.0000,17.5000,796.0000,157.0000,101.0000,3.4300,-,-,-,24.9000,346000.0000,-,165.0000,793.0000,-,-,192.0000,547.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.1300,41.7000,130.0000,-,146.0000,102.0000,118.0000,38.0000,5.5000,-
W,W40X655,W40X655,T,655.0000,193.0000,43.6000,43.6250,-,-,-,16.9000,16.8750,-,-,-,1.9700,2.0000,1.0000,3.5400,3.5625,-,-,-,4.7200,4.8125,2.1875,-,-,-,-,-,2.3900,-,-,17.3000,-,-,56500.0000,3080.0000,2590.0000,17.1000,2870.0000,542.0000,340.0000,3.8600,-,-,-,589.0000,1150000.0000,-,169.0000,2530.0000,-,-,529.0000,1530.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.7100,40.1000,132.0000,-,149.0000,104.0000,121.0000,34.0000,7.5000,-
W,W40X593,W40X593,T,593.0000,174.0000,43.0000,43.0000,-,-,-,16.7000,16.7500,-,-,-,1.7900,1.8125,0.9375,3.2300,3.2500,-,-,-,4.4100,4.5000,2.1250,-,-,-,-,-,2.5800,-,-,19.1000,-,-,50400.0000,2760.0000,2340.0000,17.0000,2520.0000,481.0000,302.0000,3.8000,-,-,-,445.0000,997000.0000,-,166.0000,2240.0000,-,-,479.0000,1370.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.6300,39.8000,130.0000,-,147.0000,103.0000,120.0000,34.0000,7.5000,-
W,W40X503,W40X503,T,503.0000,148.0000,42.1000,42.0000,-,-,-,16.4000,16.3750,-,-,-,1.5400,1.5625,0.8125,2.7600,2.7500,-,-,-,3.9400,4.0000,2.0000,-,-,-,-,-,2.9800,-,-,22.3000,-,-,41600.0000,2320.0000,1980.0000,16.8000,2040.0000,394.0000,249.0000,3.7200,-,-,-,277.0000,789000.0000,-,161.0000,1830.0000,-,-,403.0000,1150.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.5000,39.3000,129.0000,-,145.0000,101.0000,117.0000,34.0000,7.5000,-
W,W40X431,W40X431,T,431.0000,127.0000,41.3000,41.2500,-,-,-,16.2000,16.2500,-,-,-,1.3400,1.3125,0.6875,2.3600,2.3750,-,-,-,3.5400,3.6250,1.8750,-,-,-,-,-,3.4400,-,-,25.5000,-,-,34800.0000,1960.0000,1690.0000,16.6000,1690.0000,328.0000,208.0000,3.6500,-,-,-,177.0000,638000.0000,-,158.0000,1510.0000,-,-,341.0000,969.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.4100,38.9000,127.0000,-,143.0000,98.8000,115.0000,34.0000,7.5000,-
W,W40X397,W40X397,T,397.0000,117.0000,41.0000,41.0000,-,-,-,16.1000,16.1250,-,-,-,1.2200,1.2500,0.6250,2.2000,2.1875,-,-,-,3.3800,3.5000,1.8125,-,-,-,-,-,3.6600,-,-,28.0000,-,-,32000.0000,1800.0000,1560.0000,16.6000,1540.0000,300.0000,191.0000,3.6400,-,-,-,142.0000,579000.0000,-,156.0000,1380.0000,-,-,318.0000,891.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.3800,38.8000,126.0000,-,142.0000,98.1000,114.0000,34.0000,7.5000,-
W,W40X372,W40X372,T,372.0000,110.0000,40.6000,40.6250,-,-,-,16.1000,16.1250,-,-,-,1.1600,1.1875,0.6250,2.0500,2.0625,-,-,-,3.2300,3.3125,1.8125,-,-,-,-,-,3.9300,-,-,29.5000,-,-,29600.0000,1680.0000,1460.0000,16.5000,1420.0000,277.0000,177.0000,3.6000,-,-,-,116.0000,528000.0000,-,155.0000,1280.0000,-,-,295.0000,829.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.3300,38.6000,125.0000,-,141.0000,97.3000,113.0000,34.0000,7.5000,-
W,W40X362,W40X362,T,362.0000,106.0000,40.6000,40.5000,-,-,-,16.0000,16.0000,-,-,-,1.1200,1.1250,0.5625,2.0100,2.0000,-,-,-,3.1900,3.2500,1.7500,-,-,-,-,-,3.9900,-,-,30.5000,-,-,28900.0000,1640.0000,1420.0000,16.5000,1380.0000,270.0000,173.0000,3.6000,-,-,-,109.0000,513000.0000,-,154.0000,1240.0000,-,-,289.0000,808.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.3300,38.6000,125.0000,-,141.0000,97.2000,113.0000,34.0000,7.5000,-
W,W40X324,W40X324,F,324.0000,95.3000,40.2000,40.1250,-,-,-,15.9000,15.8750,-,-,-,1.0000,1.0000,0.5000,1.8100,1.8125,-,-,-,2.9900,3.0625,1.6875,-,-,-,-,-,4.4000,-,-,34.2000,-,-,25600.0000,1460.0000,1280.0000,16.4000,1220.0000,239.0000,153.0000,3.5800,-,-,-,79.4000,448000.0000,-,153.0000,1100.0000,-,-,259.0000,720.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.2700,38.4000,124.0000,-,140.0000,96.3000,112.0000,34.0000,7.5000,-
W,W40X297,W40X297,F,297.0000,87.3000,39.8000,39.8750,-,-,-,15.8000,15.8750,-,-,-,0.9300,0.9375,0.5000,1.6500,1.6250,-,-,-,2.8300,2.9375,1.6875,-,-,-,-,-,4.8000,-,-,36.8000,-,-,23200.0000,1330.0000,1170.0000,16.3000,1090.0000,215.0000,138.0000,3.5400,-,-,-,61.2000,399000.0000,-,151.0000,982.0000,-,-,234.0000,652.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.2200,38.2000,123.0000,-,139.0000,95.4000,111.0000,34.0000,7.5000,-
W,W40X277,W40X277,F,277.0000,81.5000,39.7000,39.7500,-,-,-,15.8000,15.8750,-,-,-,0.8300,0.8125,0.4375,1.5800,1.5625,-,-,-,2.7600,2.8750,1.6250,-,-,-,-,-,5.0300,-,-,41.2000,-,-,21900.0000,1250.0000,1100.0000,16.4000,1040.0000,204.0000,132.0000,3.5800,-,-,-,51.5000,379000.0000,-,151.0000,940.0000,-,-,225.0000,614.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.2500,38.1000,123.0000,-,139.0000,95.2000,111.0000,34.0000,7.5000,-
W,W40X249,W40X249,F,249.0000,73.5000,39.4000,39.3750,-,-,-,15.8000,15.7500,-,-,-,0.7500,0.7500,0.3750,1.4200,1.4375,-,-,-,2.6000,2.6875,1.5625,-,-,-,-,-,5.5500,-,-,45.6000,-,-,19600.0000,1120.0000,993.0000,16.3000,926.0000,182.0000,118.0000,3.5500,-,-,-,38.1000,334000.0000,-,150.0000,841.0000,-,-,203.0000,551.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.2100,38.0000,122.0000,-,138.0000,94.6000,110.0000,34.0000,7.5000,-
W,W40X215,W40X215,F,215.0000,63.5000,39.0000,39.0000,-,-,-,15.8000,15.7500,-,-,-,0.6500,0.6250,0.3125,1.2200,1.2500,-,-,-,2.4000,2.5000,1.5625,-,-,-,-,-,6.4500,-,-,52.6000,-,-,16700.0000,964.0000,859.0000,16.2000,803.0000,156.0000,101.0000,3.5400,-,-,-,24.8000,284000.0000,-,149.0000,719.0000,-,-,175.0000,473.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.1900,37.8000,122.0000,-,138.0000,93.8000,110.0000,34.0000,7.5000,-
W,W40X199,W40X199,F,199.0000,58.8000,38.7000,38.6250,-,-,-,15.8000,15.7500,-,-,-,0.6500,0.6250,0.3125,1.0700,1.0625,-,-,-,2.2500,2.3125,1.5625,-,-,-,-,-,7.3900,-,-,52.6000,-,-,14900.0000,869.0000,770.0000,16.0000,695.0000,137.0000,88.2000,3.4500,-,-,-,18.3000,246000.0000,-,149.0000,628.0000,-,-,153.0000,427.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.1200,37.6000,121.0000,-,137.0000,93.2000,109.0000,34.0000,7.5000,-
W,W40X392,W40X392,T,392.0000,116.0000,41.6000,41.6250,-,-,-,12.4000,12.3750,-,-,-,1.4200,1.4375,0.7500,2.5200,2.5000,-,-,-,3.7000,3.8125,1.9375,-,-,-,-,-,2.4500,-,-,24.1000,-,-,29900.0000,1710.0000,1440.0000,16.1000,803.0000,212.0000,130.0000,2.6400,-,-,-,172.0000,306000.0000,-,121.0000,946.0000,-,-,270.0000,848.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.3000,39.1000,116.0000,-,128.0000,95.6000,108.0000,34.0000,7.5000,-
W,W40X331,W40X331,T,331.0000,97.7000,40.8000,40.7500,-,-,-,12.2000,12.1250,-,-,-,1.2200,1.2500,0.6250,2.1300,2.1250,-,-,-,3.3100,3.3750,1.8125,-,-,-,-,-,2.8600,-,-,28.0000,-,-,24700.0000,1430.0000,1210.0000,15.9000,644.0000,172.0000,106.0000,2.5700,-,-,-,105.0000,241000.0000,-,118.0000,766.0000,-,-,226.0000,706.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.2100,38.7000,114.0000,-,126.0000,93.8000,106.0000,34.0000,7.5000,-
W,W40X327,W40X327,T,327.0000,95.9000,40.8000,40.7500,-,-,-,12.1000,12.1250,-,-,-,1.1800,1.1875,0.6250,2.1300,2.1250,-,-,-,3.3100,3.3750,1.8125,-,-,-,-,-,2.8500,-,-,29.0000,-,-,24500.0000,1410.0000,1200.0000,16.0000,640.0000,170.0000,105.0000,2.5800,-,-,-,103.0000,239000.0000,-,117.0000,754.0000,-,-,225.0000,695.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.2100,38.7000,114.0000,-,126.0000,93.7000,106.0000,34.0000,7.5000,-
W,W40X294,W40X294,F,294.0000,86.2000,40.4000,40.3750,-,-,-,12.0000,12.0000,-,-,-,1.0600,1.0625,0.5625,1.9300,1.9375,-,-,-,3.1100,3.1875,1.7500,-,-,-,-,-,3.1100,-,-,32.2000,-,-,21900.0000,1270.0000,1080.0000,15.9000,562.0000,150.0000,93.5000,2.5500,-,-,-,76.6000,208000.0000,-,115.0000,668.0000,-,-,203.0000,622.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.1600,38.5000,113.0000,-,125.0000,92.8000,105.0000,34.0000,7.5000,-
W,W40X278,W40X278,F,278.0000,82.3000,40.2000,40.1250,-,-,-,12.0000,12.0000,-,-,-,1.0300,1.0000,0.5000,1.8100,1.8125,-,-,-,2.9900,3.0625,1.7500,-,-,-,-,-,3.3100,-,-,33.3000,-,-,20500.0000,1190.0000,1020.0000,15.8000,521.0000,140.0000,87.1000,2.5200,-,-,-,65.0000,192000.0000,-,115.0000,622.0000,-,-,190.0000,587.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.1300,38.4000,112.0000,-,124.0000,92.4000,104.0000,34.0000,7.5000,-
W,W40X264,W40X264,F,264.0000,77.4000,40.0000,40.0000,-,-,-,11.9000,11.8750,-,-,-,0.9600,0.9375,0.5000,1.7300,1.7500,-,-,-,2.9100,3.0000,1.6875,-,-,-,-,-,3.4500,-,-,35.6000,-,-,19400.0000,1130.0000,971.0000,15.8000,493.0000,132.0000,82.6000,2.5200,-,-,-,56.1000,181000.0000,-,114.0000,589.0000,-,-,182.0000,555.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.1200,38.3000,112.0000,-,124.0000,91.9000,104.0000,34.0000,7.5000,-
W,W40X235,W40X235,F,235.0000,69.1000,39.7000,39.7500,-,-,-,11.9000,11.8750,-,-,-,0.8300,0.8125,0.4375,1.5800,1.5625,-,-,-,2.7600,2.8750,1.6250,-,-,-,-,-,3.7700,-,-,41.2000,-,-,17400.0000,1010.0000,875.0000,15.9000,444.0000,118.0000,74.6000,2.5400,-,-,-,41.3000,161000.0000,-,113.0000,530.0000,-,-,166.0000,495.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.1100,38.1000,111.0000,-,123.0000,91.3000,103.0000,34.0000,7.5000,-
W,W40X211,W40X211,F,211.0000,62.1000,39.4000,39.3750,-,-,-,11.8000,11.7500,-,-,-,0.7500,0.7500,0.3750,1.4200,1.4375,-,-,-,2.6000,2.6875,1.5625,-,-,-,-,-,4.1700,-,-,45.6000,-,-,15500.0000,906.0000,786.0000,15.8000,390.0000,105.0000,66.1000,2.5100,-,-,-,30.4000,141000.0000,-,112.0000,468.0000,-,-,148.0000,442.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.0700,38.0000,110.0000,-,122.0000,90.6000,102.0000,34.0000,7.5000,-
W,W40X183,W40X183,F,183.0000,53.3000,39.0000,39.0000,-,-,-,11.8000,11.7500,-,-,-,0.6500,0.6250,0.3125,1.2000,1.1875,-,-,-,2.3800,2.5000,1.5625,-,-,-,-,-,4.9200,-,-,52.6000,-,-,13200.0000,774.0000,675.0000,15.7000,331.0000,88.3000,56.0000,2.4900,-,-,-,19.3000,118000.0000,-,112.0000,395.0000,-,-,126.0000,376.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.0400,37.8000,110.0000,-,122.0000,89.8000,102.0000,34.0000,7.5000,-
W,W40X167,W40X167,F,167.0000,49.3000,38.6000,38.6250,-,-,-,11.8000,11.7500,-,-,-,0.6500,0.6250,0.3125,1.0300,1.0000,-,-,-,2.2100,2.3125,1.5625,-,-,-,-,-,5.7600,-,-,52.6000,-,-,11600.0000,693.0000,600.0000,15.3000,283.0000,76.0000,47.9000,2.4000,-,-,-,14.0000,99700.0000,-,111.0000,336.0000,-,-,107.0000,336.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.9800,37.6000,109.0000,-,121.0000,89.0000,101.0000,34.0000,7.5000,-
W,W40X149,W40X149,F,149.0000,43.8000,38.2000,38.2500,-,-,-,11.8000,11.7500,-,-,-,0.6300,0.6250,0.3125,0.8300,0.8125,-,-,-,2.0100,2.1250,1.5000,-,-,-,-,-,7.1100,-,-,54.3000,-,-,9800.0000,598.0000,513.0000,15.0000,229.0000,62.2000,38.8000,2.2900,-,-,-,9.3600,80000.0000,-,110.0000,270.0000,-,-,86.7000,288.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.8900,37.4000,108.0000,-,120.0000,88.2000,100.0000,34.0000,7.5000,-
W,W36X925,W36X925,T,925.0000,272.0000,43.1000,43.1250,-,-,-,18.6000,18.6250,-,-,-,3.0200,3.0000,1.5000,4.5300,4.5000,-,-,-,5.2800,5.3750,2.3125,-,-,-,-,-,2.0500,-,-,10.8000,-,-,73000.0000,4130.0000,3390.0000,16.4000,4940.0000,862.0000,531.0000,4.2600,-,-,-,1430.0000,1840000.0000,-,179.0000,3780.0000,-,-,681.0000,2060.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.3000,38.6000,134.0000,-,153.0000,105.0000,124.0000,32.3750,7.5000,-
W,W36X853,W36X853,T,853.0000,251.0000,43.1000,43.1250,-,-,-,18.2000,18.2500,-,-,-,2.5200,2.5000,1.2500,4.5300,4.5000,-,-,-,5.2800,5.3750,2.0625,-,-,-,-,-,2.0100,-,-,12.9000,-,-,70000.0000,3920.0000,3250.0000,16.7000,4600.0000,805.0000,505.0000,4.2800,-,-,-,1240.0000,1710000.0000,-,175.0000,3620.0000,-,-,685.0000,1950.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.2200,38.6000,135.0000,-,153.0000,104.0000,122.0000,32.3750,7.5000,-
W,W36X802,W36X802,T,802.0000,236.0000,42.6000,42.6250,-,-,-,18.0000,18.0000,-,-,-,2.3800,2.3750,1.1875,4.2900,4.3125,-,-,-,5.0400,5.1250,2.0000,-,-,-,-,-,2.1000,-,-,13.7000,-,-,64800.0000,3660.0000,3040.0000,16.6000,4210.0000,744.0000,468.0000,4.2200,-,-,-,1050.0000,1540000.0000,-,172.0000,3330.0000,-,-,642.0000,1820.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.1500,38.3000,133.0000,-,151.0000,103.0000,121.0000,32.3750,7.5000,-
W,W36X723,W36X723,T,723.0000,213.0000,41.8000,41.7500,-,-,-,17.8000,17.7500,-,-,-,2.1700,2.1875,1.1250,3.9000,3.8750,-,-,-,4.6500,4.6875,1.8750,-,-,-,-,-,2.2800,-,-,15.0000,-,-,57300.0000,3270.0000,2740.0000,16.4000,3700.0000,658.0000,416.0000,4.1700,-,-,-,785.0000,1330000.0000,-,169.0000,2930.0000,-,-,578.0000,1630.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.0600,37.9000,131.0000,-,149.0000,101.0000,119.0000,32.3750,7.5000,-
W,W36X652,W36X652,T,652.0000,192.0000,41.1000,41.0000,-,-,-,17.6000,17.6250,-,-,-,1.9700,2.0000,1.0000,3.5400,3.5625,-,-,-,4.4900,4.8125,2.1875,-,-,-,-,-,2.4800,-,-,16.3000,-,-,50600.0000,2910.0000,2460.0000,16.2000,3230.0000,581.0000,367.0000,4.1000,-,-,-,593.0000,1130000.0000,-,165.0000,2560.0000,-,-,518.0000,1450.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.9600,37.6000,129.0000,-,147.0000,99.8000,117.0000,31.3750,7.5000,-
W,W36X529,W36X529,T,529.0000,156.0000,39.8000,39.7500,-,-,-,17.2000,17.2500,-,-,-,1.6100,1.6250,0.8125,2.9100,2.9375,-,-,-,3.8600,4.1875,2.0000,-,-,-,-,-,2.9600,-,-,19.9000,-,-,39600.0000,2330.0000,1990.0000,16.0000,2490.0000,454.0000,289.0000,4.0000,-,-,-,327.0000,846000.0000,-,159.0000,1990.0000,-,-,419.0000,1160.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.8000,36.9000,127.0000,-,144.0000,96.8000,114.0000,31.3750,7.5000,-
W,W36X487,W36X487,T,487.0000,143.0000,39.3000,39.3750,-,-,-,17.1000,17.1250,-,-,-,1.5000,1.5000,0.7500,2.6800,2.6875,-,-,-,3.6300,4.0000,1.8750,-,-,-,-,-,3.1900,-,-,21.4000,-,-,36000.0000,2130.0000,1830.0000,15.8000,2250.0000,412.0000,263.0000,3.9600,-,-,-,258.0000,754000.0000,-,157.0000,1800.0000,-,-,383.0000,1060.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.7400,36.6000,125.0000,-,142.0000,95.7000,113.0000,31.3750,7.5000,-
W,W36X441,W36X441,T,441.0000,130.0000,38.9000,38.8750,-,-,-,17.0000,17.0000,-,-,-,1.3600,1.3750,0.6875,2.4400,2.4375,-,-,-,3.3900,3.7500,1.8750,-,-,-,-,-,3.4800,-,-,23.6000,-,-,32100.0000,1910.0000,1650.0000,15.7000,1990.0000,368.0000,235.0000,3.9200,-,-,-,194.0000,661000.0000,-,154.0000,1600.0000,-,-,347.0000,950.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.6900,36.5000,124.0000,-,141.0000,94.8000,112.0000,31.3750,7.5000,-
W,W36X395,W36X395,T,395.0000,116.0000,38.4000,38.3750,-,-,-,16.8000,16.8750,-,-,-,1.2200,1.2500,0.6250,2.2000,2.1875,-,-,-,3.1500,3.4375,1.8125,-,-,-,-,-,3.8300,-,-,26.3000,-,-,28500.0000,1710.0000,1490.0000,15.7000,1750.0000,325.0000,208.0000,3.8800,-,-,-,142.0000,575000.0000,-,152.0000,1410.0000,-,-,311.0000,847.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.6100,36.2000,123.0000,-,140.0000,93.6000,110.0000,31.3750,7.5000,-
W,W36X361,W36X361,T,361.0000,106.0000,38.0000,38.0000,-,-,-,16.7000,16.7500,-,-,-,1.1200,1.1250,0.5625,2.0100,2.0000,-,-,-,2.9600,3.3125,1.7500,-,-,-,-,-,4.1600,-,-,28.6000,-,-,25700.0000,1550.0000,1350.0000,15.6000,1570.0000,293.0000,188.0000,3.8500,-,-,-,109.0000,509000.0000,-,150.0000,1270.0000,-,-,282.0000,767.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.5800,36.0000,122.0000,-,139.0000,92.7000,109.0000,31.3750,7.5000,-
W,W36X330,W36X330,F,330.0000,96.9000,37.7000,37.6250,-,-,-,16.6000,16.6250,-,-,-,1.0200,1.0000,0.5000,1.8500,1.8750,-,-,-,2.8000,3.1250,1.7500,-,-,-,-,-,4.4900,-,-,31.4000,-,-,23300.0000,1410.0000,1240.0000,15.5000,1420.0000,265.0000,171.0000,3.8300,-,-,-,84.3000,456000.0000,-,149.0000,1150.0000,-,-,259.0000,698.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.5300,35.9000,121.0000,-,138.0000,92.0000,109.0000,31.3750,7.5000,-
W,W36X302,W36X302,F,302.0000,89.0000,37.3000,37.3750,-,-,-,16.7000,16.6250,-,-,-,0.9450,0.9375,0.5000,1.6800,1.6875,-,-,-,2.6300,3.0000,1.6875,-,-,-,-,-,4.9600,-,-,33.9000,-,-,21100.0000,1280.0000,1130.0000,15.4000,1300.0000,241.0000,156.0000,3.8200,-,-,-,64.3000,412000.0000,-,148.0000,1040.0000,-,-,235.0000,635.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.5300,35.6000,121.0000,-,138.0000,91.3000,108.0000,31.3750,7.5000,-
W,W36X282,W36X282,F,282.0000,82.9000,37.1000,37.1250,-,-,-,16.6000,16.6250,-,-,-,0.8850,0.8750,0.4375,1.5700,1.5625,-,-,-,2.5200,2.8750,1.6250,-,-,-,-,-,5.2900,-,-,36.2000,-,-,19600.0000,1190.0000,1050.0000,15.4000,1200.0000,223.0000,144.0000,3.8000,-,-,-,52.7000,378000.0000,-,147.0000,960.0000,-,-,219.0000,591.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.5000,35.5000,120.0000,-,137.0000,90.8000,107.0000,31.3750,7.5000,-
W,W36X262,W36X262,F,262.0000,77.2000,36.9000,36.8750,-,-,-,16.6000,16.5000,-,-,-,0.8400,0.8125,0.4375,1.4400,1.4375,-,-,-,2.3900,2.7500,1.6250,-,-,-,-,-,5.7500,-,-,38.2000,-,-,17900.0000,1100.0000,972.0000,15.3000,1090.0000,204.0000,132.0000,3.7600,-,-,-,41.6000,342000.0000,-,147.0000,873.0000,-,-,200.0000,543.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.4600,35.5000,120.0000,-,137.0000,90.4000,107.0000,31.3750,7.5000,-
W,W36X247,W36X247,F,247.0000,72.5000,36.7000,36.6250,-,-,-,16.5000,16.5000,-,-,-,0.8000,0.8125,0.4375,1.3500,1.3750,-,-,-,2.3000,2.6250,1.6250,-,-,-,-,-,6.1100,-,-,40.1000,-,-,16700.0000,1030.0000,913.0000,15.2000,1010.0000,190.0000,123.0000,3.7400,-,-,-,34.7000,316000.0000,-,146.0000,812.0000,-,-,187.0000,509.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.4200,35.4000,120.0000,-,136.0000,89.9000,106.0000,31.3750,7.5000,-
W,W36X231,W36X231,F,231.0000,68.2000,36.5000,36.5000,-,-,-,16.5000,16.5000,-,-,-,0.7600,0.7500,0.3750,1.2600,1.2500,-,-,-,2.2100,2.5625,1.5625,-,-,-,-,-,6.5400,-,-,42.2000,-,-,15600.0000,963.0000,854.0000,15.1000,940.0000,176.0000,114.0000,3.7100,-,-,-,28.7000,292000.0000,-,145.0000,756.0000,-,-,175.0000,476.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.4000,35.2000,120.0000,-,136.0000,89.5000,106.0000,31.3750,7.5000,-
W,W36X256,W36X256,F,256.0000,75.3000,37.4000,37.3750,-,-,-,12.2000,12.2500,-,-,-,0.9600,0.9375,0.5000,1.7300,1.7500,-,-,-,2.4800,2.9375,1.6875,-,-,-,-,-,3.5300,-,-,33.8000,-,-,16800.0000,1040.0000,895.0000,14.9000,528.0000,137.0000,86.5000,2.6500,-,-,-,52.9000,168000.0000,-,109.0000,576.0000,-,-,174.0000,516.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.2400,35.7000,108.0000,-,120.0000,87.0000,99.2000,31.5000,5.5000,-
W,W36X232,W36X232,F,232.0000,68.0000,37.1000,37.1250,-,-,-,12.1000,12.1250,-,-,-,0.8700,0.8750,0.4375,1.5700,1.5625,-,-,-,2.3200,2.8125,1.6250,-,-,-,-,-,3.8600,-,-,37.3000,-,-,15000.0000,936.0000,809.0000,14.8000,468.0000,122.0000,77.2000,2.6200,-,-,-,39.6000,148000.0000,-,108.0000,512.0000,-,-,157.0000,464.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.2100,35.5000,108.0000,-,120.0000,86.3000,98.4000,31.5000,5.5000,-
