Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo
HSS,HSS9X7X.500,HSS9X7X1/2,F,48.8500,13.5000,-,-,9.0000,7.6000,-,-,-,7.0000,5.6000,-,-,-,-,-,-,-,0.5000,0.4650,-,-,-,-,-,-,-,-,-,-,12.1000,-,16.4000,-,149.0000,40.5000,33.0000,3.3200,100.0000,34.0000,28.7000,2.7300,-,-,-,197.0000,-,51.5000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HSS,HSS9X7X.375,HSS9X7X3/8,F,37.6900,10.4000,-,-,9.0000,7.9500,-,-,-,7.0000,5.9500,-,-,-,-,-,-,-,0.3750,0.3490,-,-,-,-,-,-,-,-,-,-,17.1000,-,22.8000,-,119.0000,31.8000,26.4000,3.3800,80.4000,26.7000,23.0000,2.7800,-,-,-,154.0000,-,40.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HSS,HSS9X7X.313,HSS9X7X5/16,F,31.8400,8.7600,-,-,9.0000,8.1300,-,-,-,7.0000,6.1300,-,-,-,-,-,-,-,0.3125,0.2910,-,-,-,-,-,-,-,-,-,-,21.1000,-,27.9000,-,102.0000,27.1000,22.6000,3.4100,69.2000,22.8000,19.8000,2.8100,-,-,-,131.0000,-,33.9000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HSS,HSS9X7X.250,HSS9X7X1/4,F,25.8200,7.1000,-,-,9.0000,8.3000,-,-,-,7.0000,6.3000,-,-,-,-,-,-,-,0.2500,0.2330,-,-,-,-,-,-,-,-,-,-,27.0000,-,35.6000,-,84.1000,22.2000,18.7000,3.4400,57.2000,18.7000,16.3000,2.8400,-,-,-,107.0000,-,27.6000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HSS,HSS9X7X.188,HSS9X7X3/16,F,19.6300,5.3700,-,-,9.0000,8.4800,-,-,-,7.0000,6.4800,-,-,-,-,-,-,-,0.1875,0.1740,-,-,-,-,-,-,-,-,-,-,37.2000,-,48.7000,-,64.7000,16.9000,14.4000,3.4700,44.1000,14.3000,12.6000,2.8700,-,-,-,81.7000,-,20.9000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HSS,HSS9X5X.625,HSS9X5X5/8,F,50.8100,14.0000,-,-,9.0000,7.2600,-,-,-,5.0000,3.2600,-,-,-,-,-,-,-,0.6250,0.5810,-,-,-,-,-,-,-,-,-,-,5.6100,-,12.5000,-,133.0000,38.5000,29.6000,3.0800,52.0000,25.3000,20.8000,1.9200,-,-,-,128.0000,-,42.5000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HSS,HSS9X5X.500,HSS9X5X1/2,F,42.0500,11.6000,-,-,9.0000,7.6000,-,-,-,5.0000,3.6000,-,-,-,-,-,-,-,0.5000,0.4650,-,-,-,-,-,-,-,-,-,-,7.7500,-,16.4000,-,115.0000,32.5000,25.5000,3.1400,45.2000,21.5000,18.1000,1.9700,-,-,-,109.0000,-,35.6000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HSS,HSS9X5X.375,HSS9X5X3/8,F,32.5800,8.9700,-,-,9.0000,7.9500,-,-,-,5.0000,3.9500,-,-,-,-,-,-,-,0.3750,0.3490,-,-,-,-,-,-,-,-,-,-,11.3000,-,22.8000,-,92.5000,25.7000,20.5000,3.2100,36.8000,17.1000,14.7000,2.0300,-,-,-,86.9000,-,27.9000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HSS,HSS9X5X.313,HSS9X5X5/16,F,27.5900,7.5900,-,-,9.0000,8.1300,-,-,-,5.0000,4.1300,-,-,-,-,-,-,-,0.3125,0.2910,-,-,-,-,-,-,-,-,-,-,14.2000,-,27.9000,-,79.8000,22.0000,17.7000,3.2400,32.0000,14.6000,12.8000,2.0500,-,-,-,74.4000,-,23.8000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HSS,HSS9X5X.250,HSS9X5X1/4,F,22.4200,6.1700,-,-,9.0000,8.3000,-,-,-,5.0000,4.3000,-,-,-,-,-,-,-,0.2500,0.2330,-,-,-,-,-,-,-,-,-,-,18.5000,-,35.6000,-,66.1000,18.1000,14.7000,3.2700,26.6000,12.0000,10.6000,2.0800,-,-,-,61.2000,-,19.4000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
